"ML-Ready Dataset — For Use with Linear Regression, GBT, and SVR",,,,,,,,,,
"AY Start
(Feature)","AY End
(Feature)","Sector
(Label)","Sector
Encoded","Region
(Label)","Region
Encoded","SHS
Available","Total
Elementary","Total
High School","Total
Senior HS","Total
Students (TARGET)"
2013,2014,Private,1,Region VII - Central Visayas,12,0,"107,986","103,950",0,"211,936"
2013,2014,Private,1,Region VIII - Eastern Visayas,13,0,"26,913","35,107",0,"62,020"
2013,2014,Private,1,Region IX - Zamboanga Peninsula,9,0,"25,399","26,271",0,"51,670"
2013,2014,Private,1,Region X - Northern Mindanao,14,0,"53,604","67,890",0,"121,494"
2013,2014,Private,1,Region XI - Davao Region,15,0,"69,375","55,845",0,"125,220"
2013,2014,Private,1,Region XII - Soccsksargen,16,0,"53,885","59,020",0,"112,905"
2013,2014,Private,1,CARAGA - CARAGA,2,0,"19,841","24,915",0,"44,756"
2013,2014,Private,1,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,0,0,"25,306","27,504",0,"52,810"
2013,2014,Private,1,CAR - Cordillera Administrative Region,1,0,"31,835","34,766",0,"66,601"
2013,2014,Private,1,NCR - National Capital Region,3,0,"350,442","208,548",0,"558,990"
2014,2015,Private,1,Region I - Ilocos Region,4,0,"64,057","69,532",0,"133,589"
2014,2015,Private,1,Region II - Cagayan Valley,5,0,"37,328","45,515",0,"82,843"
2014,2015,Private,1,Region III - Central Luzon,6,0,"220,830","180,166",0,"400,996"
2014,2015,Private,1,Region IV-A - CALABARZON,7,0,"339,102","246,689",0,"585,791"
2014,2015,Private,1,Region IV-B - MIMAROPA,8,0,"19,395","29,591",0,"48,986"
2014,2015,Private,1,Region V - Bicol Region,10,0,"49,891","61,864",0,"111,755"
2014,2015,Private,1,Region VI - Western Visayas,11,0,"98,635","76,147",0,"174,782"
2014,2015,Private,1,Region VII - Central Visayas,12,0,"99,863","103,950",0,"203,813"
2014,2015,Private,1,Region VIII - Eastern Visayas,13,0,"25,905","35,107",0,"61,012"
2014,2015,Private,1,Region IX - Zamboanga Peninsula,9,0,"24,072","26,271",0,"50,343"
2014,2015,Private,1,Region X - Northern Mindanao,14,0,"56,073","67,890",0,"123,963"
2014,2015,Private,1,Region XI - Davao Region,15,0,"66,988","55,845",0,"122,833"
2014,2015,Private,1,Region XII - Soccsksargen,16,0,"54,988","59,020",0,"114,008"
2014,2015,Private,1,CARAGA - CARAGA,2,0,"20,333","24,915",0,"45,248"
2014,2015,Private,1,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,0,0,"23,438","27,504",0,"50,942"
2014,2015,Private,1,CAR - Cordillera Administrative Region,1,0,"30,846","34,766",0,"65,612"
2014,2015,Private,1,NCR - National Capital Region,3,0,"343,463","208,548",0,"552,011"
2015,2016,Private,1,Region I - Ilocos Region,4,0,"62,279","67,674",0,"129,953"
2015,2016,Private,1,Region II - Cagayan Valley,5,0,"36,636","44,761",0,"81,397"
2015,2016,Private,1,Region III - Central Luzon,6,0,"208,972","168,745",0,"377,717"
2015,2016,Private,1,Region IV-A - CALABARZON,7,0,"315,314","241,236",0,"556,550"
2015,2016,Private,1,Region IV-B - MIMAROPA,8,0,"22,526","31,373",0,"53,899"
2015,2016,Private,1,Region V - Bicol Region,10,0,"49,279","60,059",0,"109,338"
2015,2016,Private,1,Region VI - Western Visayas,11,0,"105,218","75,009",0,"180,227"
